Code,Industry
11,"Agriculture, Forestry, Fishing and Hunting "
21,"Mining, Oil and Gas"
23,Construction
31,Manufacturing
32,Manufacturing
33,Manufacturing
42,Wholesale Trade
44,Retail Trade
45,Retail Trade
48,Transportation and Warehousing
49,Transportation and Warehousing
22,Utilities
51,Information
52,Finance and Insurance
53,Real Estate and Rental and Leasing
54,"Professional, Scientific and Techncial Services"
55,Management of Companies and Enterprises
56,Admin Support and Waste Management
61,Educational Service
62,Healthcare and Social Assistance
71,"Arts, Entertainment and Recreation"
72,Accommodation and Food Services
81,Other Services (except Public Administration)
92,Public Administration
